x/c,y/c
1.00E+00,0.00E+00
9.93E-01,1.79E-03
9.81E-01,4.63E-03
9.68E-01,7.66E-03
9.54E-01,1.09E-02
9.39E-01,1.43E-02
9.22E-01,1.79E-02
9.06E-01,2.14E-02
8.89E-01,2.48E-02
8.73E-01,2.80E-02
8.56E-01,3.12E-02
8.39E-01,3.44E-02
8.22E-01,3.74E-02
8.05E-01,4.04E-02
7.88E-01,4.32E-02
7.71E-01,4.60E-02
7.54E-01,4.86E-02
7.37E-01,5.11E-02
7.20E-01,5.34E-02
7.03E-01,5.55E-02
6.86E-01,5.75E-02
6.69E-01,5.93E-02
6.52E-01,6.10E-02
6.34E-01,6.25E-02
6.17E-01,6.40E-02
6.00E-01,6.54E-02
5.83E-01,6.68E-02
5.65E-01,6.81E-02
5.48E-01,6.94E-02
5.31E-01,7.06E-02
5.13E-01,7.17E-02
4.96E-01,7.27E-02
4.79E-01,7.37E-02
4.62E-01,7.46E-02
4.44E-01,7.54E-02
4.27E-01,7.62E-02
4.10E-01,7.69E-02
3.92E-01,7.76E-02
3.75E-01,7.83E-02
3.58E-01,7.90E-02
3.40E-01,7.96E-02
3.23E-01,8.02E-02
3.06E-01,8.06E-02
2.89E-01,8.08E-02
2.71E-01,8.09E-02
2.54E-01,8.08E-02
2.37E-01,8.03E-02
2.20E-01,7.93E-02
2.03E-01,7.78E-02
1.86E-01,7.56E-02
1.69E-01,7.29E-02
1.53E-01,6.97E-02
1.36E-01,6.60E-02
1.19E-01,6.18E-02
1.03E-01,5.69E-02
8.72E-02,5.14E-02
7.15E-02,4.53E-02
5.61E-02,3.84E-02
4.11E-02,3.07E-02
2.67E-02,2.21E-02
1.34E-02,1.32E-02
4.23E-03,6.09E-03
1.03E-03,2.58E-03
2.29E-05,3.82E-04
7.17E-04,-1.44E-03
3.56E-03,-2.43E-03
1.05E-02,-2.43E-03
1.78E-02,-1.90E-03
2.23E-02,-1.58E-03
2.60E-02,-1.32E-03
2.93E-02,-1.10E-03
3.24E-02,-8.91E-04
3.54E-02,-6.96E-04
3.83E-02,-5.08E-04
4.12E-02,-3.26E-04
0.0440311,-0.0001474
0.046903,0.0000299
0.0498248,0.0002073
0.052827,0.0003865
0.0559455,0.0005693
0.0592254,0.000758
0.062728,0.0009552
0.0665432,0.001165
0.070817,0.001394
0.0758191,0.0016536
0.0821686,0.0019701
0.0920379,0.0024328
0.1041361,0.0029511
0.1127543,0.0032884
0.1203621,0.0035649
0.1276681,0.0038123
0.135051,0.0040448
0.1428414,0.0042718
0.1514623,0.0045016
0.161642,0.0047454
0.174941,0.0050214
0.1900941,0.0052806
0.2029153,0.0054557
0.2149615,0.0055845
0.2270203,0.0056794
0.2396593,0.0057436
0.2534652,0.0057734
0.2691083,0.0057582
0.2856188,0.0056877
0.3008878,0.0055761
0.3155193,0.0054308
0.3299449,0.0052539
0.3444662,0.0050451
0.3593277,0.0048027
0.3747437,0.004524
0.390898,0.0042064
0.4078688,0.0038489
0.4247035,0.0034745
0.4409725,0.0030973
0.456851,0.0027174
0.4724748,0.0023348
0.4879496,0.0019499
0.503361,0.0015632
0.5187803,0.0011754
0.5342685,0.0007875
0.549878,0.0004007
0.5656535,0.0000168
0.5816322,-0.0003623
0.5978423,-0.0007339
0.6143015,-0.001095
0.6310139,-0.0014417
0.6479665,-0.0017697
0.6651262,-0.002074
0.6824317,-0.0023491
0.6997462,-0.0025894
0.7170689,-0.0027928
0.7343829,-0.002958
0.7516172,-0.0030833
0.7687782,-0.0031678
0.785902,-0.003211
0.8030517,-0.0032118
0.8203124,-0.0031683
0.8374899,-0.0030798
0.8543066,-0.0029493
0.8706633,-0.0027807
0.8864919,-0.0025784
0.9017504,-0.002347
0.9164192,-0.0020908
0.9304966,-0.0018138
0.9439934,-0.0015196
0.9569293,-0.0012115
0.9693297,-0.0008919
0.9812226,-0.0005632
0.9926374,-0.0002273
1,0
